LOC_BLANK,BRANCH_COUNT,CALL_PAIRS,LOC_CODE_AND_COMMENT,LOC_COMMENTS,CONDITION_COUNT,CYCLOMATIC_COMPLEXITY,CYCLOMATIC_DENSITY,DECISION_COUNT,DECISION_DENSITY,DESIGN_COMPLEXITY,DESIGN_DENSITY,EDGE_COUNT,ESSENTIAL_COMPLEXITY,ESSENTIAL_DENSITY,LOC_EXECUTABLE,PARAMETER_COUNT,HALSTEAD_CONTENT,HALSTEAD_DIFFICULTY,HALSTEAD_EFFORT,HALSTEAD_ERROR_EST,HALSTEAD_LENGTH,HALSTEAD_LEVEL,HALSTEAD_PROG_TIME,HALSTEAD_VOLUME,MAINTENANCE_SEVERITY,MODIFIED_CONDITION_COUNT,MULTIPLE_CONDITION_COUNT,NODE_COUNT,NORMALIZED_CYLOMATIC_COMPLEXITY,NUM_OPERANDS,NUM_OPERATORS,NUM_UNIQUE_OPERANDS,NUM_UNIQUE_OPERATORS,NUMBER_OF_LINES,PERCENT_COMMENTS,LOC_TOTAL,label,GLOBAL_DATA_COMPLEXITY,GLOBAL_DATA_DENSITY
40,9,4,2,15,16,5,0.15,8,2,2,0.4,21,1,0,31,0,47.41,27.5,35852.6,0.43,231,0.04,1991.81,1303.73,0.2,4,8,18,0.06,70,161,28,22,89,35.42,33,0,0,0
23,9,6,3,20,16,5,0.19,8,2,2,0.4,23,1,0,24,0,43.1,15.2,9958,0.22,120,0.07,553.22,655.13,0.2,4,8,20,0.07,40,80,25,19,71,48.94,27,0,0,0
8,3,1,6,5,4,2,0.11,2,2,1,0.5,7,1,0,13,1,29.61,9.15,2480.95,0.09,57,0.11,137.83,271.03,0.5,1,2,7,0.06,17,40,13,14,33,45.83,19,0,0,0
19,3,1,2,0,4,2,0.06,2,2,2,1,23,1,0,33,0,64.01,11.65,8684.99,0.25,135,0.09,482.5,745.68,0.5,1,2,23,0.04,66,69,34,12,55,5.71,35,0,0,0
6,7,0,6,0,10,4,0.15,4,2.5,1,0.25,13,4,1,21,1,21.34,24.44,12748.97,0.17,98,0.04,708.28,521.54,1,3,5,11,0.12,40,58,18,22,34,22.22,27,0,0,0
134,60,9,63,31,38,41,0.17,16,2.38,23,0.56,118,6,0.13,177,5,101.81,54.82,305928.62,1.86,767,0.02,16996.03,5580.79,0.15,11,19,79,0.1,268,499,110,45,406,34.69,240,0,0,0
9,8,2,4,5,8,5,0.28,4,2,3,0.6,14,1,0,14,0,12.36,15,2781.99,0.06,41,0.07,154.56,185.47,0.2,2,4,11,0.15,16,25,8,15,33,39.13,18,0,0,0
164,110,26,37,191,128,70,0.18,54,2.37,46,0.66,241,27,0.38,361,1,157.03,97.73,1499684.32,5.12,1844,0.01,83315.8,15345.64,0.39,37,66,173,0.09,711,1133,251,69,764,38.71,398,0,0,0
27,24,11,3,48,34,13,0.16,14,2.43,10,0.77,53,7,0.5,76,1,60.5,32.21,62767.66,0.65,298,0.03,3487.09,1948.67,0.54,10,19,42,0.08,102,196,57,36,155,40.16,79,0,0,0
5,5,1,0,0,8,3,0.15,4,2,3,1,10,1,0,20,1,34.17,10.29,3620.93,0.12,71,0.1,201.16,351.75,0.33,2,4,9,0.12,25,46,17,14,26,0,20,0,0,0
7,9,3,4,5,14,5,0.16,6,2.33,3,0.6,20,3,0.5,27,0,24.71,21.86,11802.86,0.18,108,0.05,655.71,540,0.6,4,7,17,0.11,34,74,14,18,44,25,31,0,0,0
16,5,7,2,24,8,3,0.18,4,2,3,1,15,1,0,15,1,36.19,7.18,1867.89,0.09,52,0.14,103.77,260,0.33,2,4,14,0.05,21,31,19,13,58,63.41,17,0,0,0
15,7,3,3,8,12,4,0.25,6,2,4,1,15,1,0,13,0,26.75,11.03,3253.68,0.1,59,0.09,180.76,295,0.25,3,6,13,0.1,25,34,17,15,40,45.83,16,0,0,0
19,5,4,2,16,8,3,0.11,4,2,3,1,14,1,0,25,1,48.49,14.11,9649.29,0.23,120,0.07,536.07,684.05,0.33,2,4,13,0.04,49,71,33,19,70,41.86,27,0,0,0
19,7,5,5,10,12,4,0.15,6,2,4,1,15,4,1,22,1,28.43,13.42,5120.93,0.13,75,0.07,284.5,381.56,1,3,6,13,0.07,34,41,19,15,57,40.54,27,0,0,0
15,11,4,5,19,20,6,0.18,10,2,4,0.67,23,1,0,28,2,30.61,23.1,16332.07,0.24,128,0.04,907.34,707.02,0.17,5,10,19,0.08,55,73,25,21,75,46.15,33,0,0,0
13,3,1,3,18,4,2,0.1,2,2,2,1,6,1,0,18,2,25.62,24.42,15282.02,0.21,122,0.04,849,625.77,0.5,1,2,6,0.04,58,64,19,16,53,53.85,21,0,0,0
14,9,3,2,20,16,5,0.19,8,2,3,0.6,21,1,0,24,1,27.08,39.72,42716.37,0.36,197,0.03,2373.13,1075.51,0.2,4,8,18,0.07,87,110,23,21,68,47.83,26,0,0,0
12,9,4,2,12,16,5,0.13,8,2,5,1,22,1,0,38,1,54.44,19.25,20172.82,0.35,176,0.05,1120.71,1047.94,0.2,4,8,19,0.07,70,106,40,22,73,26.92,40,0,0,0
23,9,5,10,9,16,5,0.12,8,2,5,1,21,5,1,31,1,54.55,14.84,12009.6,0.27,140,0.07,667.2,809.39,1,4,8,18,0.07,61,79,37,18,74,38,41,0,0,0
155,71,5,14,170,122,37,0.18,58,2.1,26,0.7,148,21,0.56,196,1,127.7,71.54,653537.1,3.05,1177,0.01,36307.62,9135.35,0.57,32,61,113,0.07,454,723,165,52,536,48.42,210,1,0,0
42,11,10,5,44,20,6,0.16,10,2,6,1,30,1,0,32,0,53.31,12.89,8852.8,0.23,123,0.08,491.82,686.95,0.17,5,10,26,0.05,47,76,31,17,124,60.49,37,0,0,0
30,19,5,6,45,36,10,0.13,18,2,9,0.9,48,8,0.78,71,1,46.15,27.11,33930.43,0.42,211,0.04,1885.02,1251.39,0.8,9,18,40,0.07,73,138,35,26,153,41.8,77,1,0,0
9,3,2,0,7,4,2,0.13,2,2,2,1,6,1,0,15,0,27.05,14.25,5493.37,0.13,74,0.07,305.19,385.5,0.5,1,2,6,0.06,27,47,18,19,32,31.82,15,1,0,0
26,17,4,5,32,28,9,0.13,12,2.33,6,0.67,39,4,0.38,62,2,97.49,20.91,42621.97,0.68,314,0.05,2367.89,2038.44,0.44,8,14,32,0.07,115,199,66,24,126,37.37,67,0,0,0
40,11,12,3,47,20,6,0.14,10,2,5,0.83,40,1,0,41,0,61.64,16.96,17733.62,0.35,177,0.06,985.2,1045.52,0.17,5,10,36,0.05,63,114,39,21,132,54.95,44,0,0,0
7,7,2,0,8,12,4,0.16,6,2,1,0.25,16,1,0,25,0,31.67,15,7125,0.16,95,0.07,395.83,475,0.25,3,6,14,0.1,30,65,16,16,41,24.24,25,0,0,0
93,25,10,11,57,48,13,0.08,24,2,12,0.92,69,1,0,143,1,175.18,28.52,142535.33,1.67,695,0.04,7918.63,4996.93,0.08,12,24,58,0.04,290,405,122,24,305,32.22,154,1,0,0
9,5,3,2,2,8,3,0.16,4,2,3,1,11,1,0,17,0,36.74,14.57,7799.92,0.18,102,0.07,433.33,535.29,0.33,2,4,10,0.1,36,66,21,17,31,19.05,19,0,0,0
12,7,2,2,2,12,4,0.2,6,2,4,1,14,1,0,18,1,54.3,7.89,3382.91,0.14,80,0.13,187.94,428.6,0.25,3,6,12,0.11,34,46,28,13,35,18.18,20,0,0,0
31,11,5,7,30,20,6,0.15,10,2,5,0.83,26,1,0,33,0,53.63,18.46,18269.63,0.33,172,0.05,1014.98,989.84,0.17,5,10,22,0.06,68,104,35,19,102,52.86,40,1,0,0
62,7,3,7,46,12,4,0.04,6,2,4,1,15,1,0,92,0,234.02,26.64,166113.93,2.08,822,0.04,9228.55,6234.84,0.25,3,6,13,0.02,373,449,168,24,215,36.55,99,1,0,0
36,13,5,6,14,24,7,0.14,12,2,7,1,30,1,0,44,0,78.96,22.12,38620.28,0.58,269,0.05,2145.57,1746.31,0.14,6,12,25,0.07,115,154,65,25,101,31.25,50,1,0,0
39,13,7,4,28,24,7,0.13,12,2,7,1,33,1,0,48,1,124.44,13.9,24028.83,0.58,262,0.07,1334.93,1729.18,0.14,6,12,28,0.06,107,155,77,20,120,40,52,0,0,0
77,19,6,4,31,36,10,0.08,18,2,10,1,69,1,0,127,1,208.02,26.3,143936.36,1.82,753,0.04,7996.46,5471.89,0.1,9,18,61,0.04,259,494,128,26,240,21.6,131,0,0,0
55,7,9,0,23,12,4,0.19,6,2,4,1,19,1,0,21,0,51.3,7.64,2991.43,0.13,77,0.13,166.19,391.73,0.25,3,6,17,0.04,28,49,22,12,100,52.27,21,0,0,0
17,23,2,0,34,42,12,0.18,20,2.1,8,0.67,46,3,0.18,65,0,108.84,15.19,25107.55,0.55,263,0.07,1394.86,1653.06,0.25,11,21,36,0.1,109,154,61,17,117,34.34,65,0,0,0
12,3,2,1,8,4,2,0.06,2,2,2,1,6,1,0,32,0,68.36,18.78,24116.87,0.43,214,0.05,1339.83,1284,0.5,1,2,6,0.04,96,118,46,18,54,21.95,33,0,0,0
13,9,7,1,20,16,5,0.21,8,2,5,1,20,1,0,23,0,30.19,7.85,1858.26,0.08,51,0.13,103.24,236.84,0.2,4,8,17,0.09,17,34,13,12,58,47.73,24,0,0,0
3,3,0,1,6,4,2,0.22,2,2,1,0.5,5,1,0,8,1,10.63,3.75,149.49,0.01,12,0.27,8.3,39.86,0.5,1,2,5,0.11,5,7,4,6,19,46.67,9,0,0,0
22,19,8,1,1,28,11,0.17,14,2,9,0.82,55,10,0.9,63,2,40.21,43.24,75169.98,0.58,292,0.02,4176.1,1738.63,0.91,7,14,46,0.13,105,187,34,28,88,3.08,64,0,0,0
12,7,4,1,0,12,4,0.17,6,2,4,1,19,4,1,22,2,30.25,10.71,3467.15,0.11,66,0.09,192.62,323.85,1,3,6,17,0.11,28,38,17,13,36,4.35,23,0,0,0
15,13,4,1,1,24,7,0.19,12,2,6,0.86,39,1,0,36,2,34.37,26.52,24176.72,0.3,168,0.04,1343.15,911.61,0.14,6,12,34,0.13,67,101,24,19,54,5.26,37,0,0,0
5,3,1,1,2,4,2,0.08,2,2,2,1,21,1,0,23,2,56.67,6.13,2126.03,0.12,73,0.16,118.11,347.11,0.5,1,2,21,0.06,35,38,20,7,32,11.54,24,0,0,0
12,9,3,1,1,16,5,0.24,8,2,4,0.8,19,5,1,20,2,23.83,11.5,3151.22,0.09,57,0.09,175.07,274.02,1,4,8,16,0.14,23,34,14,14,35,9.09,21,0,0,0
9,7,3,4,0,12,4,0.19,6,2,4,1,17,4,1,17,2,26.81,10.4,2899.8,0.09,58,0.1,161.1,278.83,1,3,6,15,0.13,24,34,15,13,31,19.05,21,0,0,0
27,27,7,3,1,44,15,0.2,22,2,12,0.8,66,8,0.5,73,2,36.37,50.39,92350.98,0.61,299,0.02,5130.61,1832.66,0.53,11,22,53,0.14,113,186,37,33,105,5.19,76,0,0,0
7,3,1,4,1,4,2,0.2,2,2,2,1,6,1,0,6,2,16.39,3.5,200.76,0.02,16,0.29,11.15,57.36,0.5,1,2,6,0.11,5,11,5,7,19,45.45,10,0,0,0
10,7,5,5,1,12,4,0.18,6,2,3,0.75,21,1,0,17,2,31.11,12.06,4520.83,0.13,75,0.08,251.16,375,0.25,3,6,19,0.12,31,44,18,14,34,26.09,22,0,0,0
22,23,7,3,1,36,13,0.19,18,2,9,0.69,59,9,0.67,64,2,39.47,43.33,74124.42,0.57,283,0.02,4118.02,1710.56,0.69,9,18,48,0.14,104,179,36,30,91,5.88,67,0,0,0
3,7,1,0,0,10,4,0.2,4,2.5,2,0.5,12,4,1,20,1,13.47,16,3447.89,0.07,47,0.06,191.55,215.49,1,3,5,10,0.17,16,31,8,16,24,0,20,0,0,0
3,11,1,0,0,16,6,0.25,6,2.67,2,0.33,18,6,1,24,1,19.97,17.33,5999.58,0.12,72,0.06,333.31,346.13,1,5,8,14,0.21,26,46,12,16,28,0,24,0,0,0
3,11,1,0,0,16,6,0.25,6,2.67,2,0.33,18,6,1,24,1,19.97,17.33,5999.58,0.12,72,0.06,333.31,346.13,1,5,8,14,0.21,26,46,12,16,28,0,24,0,0,0
0,5,0,0,0,6,3,0.33,2,3,1,0.33,8,3,1,9,1,14.65,4.8,337.48,0.02,19,0.21,18.75,70.31,1,2,3,7,0.3,6,13,5,8,10,0,9,0,0,0
0,9,0,0,0,10,5,0.56,2,5,1,0.2,12,5,1,9,1,19.29,6.43,797.14,0.04,31,0.16,44.29,124,1,4,7,9,0.5,10,21,7,9,10,0,9,0,0,0
0,5,0,0,0,6,3,0.33,2,3,1,0.33,8,3,1,9,1,9.14,10,913.77,0.03,24,0.1,50.76,91.38,1,2,3,7,0.3,8,16,4,10,10,0,9,0,0,0
0,3,0,0,0,4,2,0.14,2,2,1,0.5,6,1,0,14,2,36.78,7.07,1838.97,0.09,56,0.14,102.16,260.06,0.5,1,2,6,0.13,18,38,14,11,15,0,14,0,0,0
39,9,8,9,14,16,5,0.07,8,2,5,1,24,1,0,60,8,97.85,22.12,47876.6,0.72,331,0.05,2659.81,2164.46,0.2,4,8,21,0.03,114,217,67,26,146,27.71,69,0,0,0
9,5,2,10,6,8,3,0.12,4,2,3,1,10,1,0,16,0,39.8,9,3223.83,0.12,73,0.11,179.1,358.2,0.33,2,4,9,0.07,27,46,18,12,42,50,26,0,0,0
4,3,2,0,4,4,2,0.17,2,2,2,1,6,1,0,12,1,23.34,6.11,871.59,0.05,33,0.16,48.42,142.62,0.5,1,2,6,0.1,10,23,9,11,21,25,12,0,0,0
3,3,0,0,0,4,2,0.15,2,2,1,0.5,6,1,0,13,2,18.1,9.63,1676.34,0.06,41,0.1,93.13,174.17,0.5,1,2,6,0.12,14,27,8,11,17,0,13,0,0,0
55,34,25,3,91,12,30,0.22,6,2,26,0.87,70,1,0,133,3,54.04,77.46,324260.81,1.4,605,0.01,18014.49,4185.91,0.03,3,6,42,0.11,220,385,71,50,283,41.41,136,1,0,0
5,3,3,0,13,4,2,0.13,2,2,2,1,7,1,0,16,3,21.16,9.1,1752.37,0.06,42,0.11,97.35,192.57,0.5,1,2,7,0.06,13,29,10,14,35,44.83,16,0,0,0
22,7,2,3,5,10,4,0.13,4,2.5,3,0.75,12,3,0.67,27,3,28.78,18.12,9456.28,0.17,95,0.06,525.35,521.73,0.75,3,5,10,0.07,29,66,20,25,58,22.86,30,0,0,0
19,9,2,3,15,14,5,0.15,6,2.33,4,0.8,16,4,0.75,31,3,35.02,17.25,10420.79,0.2,110,0.06,578.93,604.1,0.8,4,7,13,0.07,33,77,22,23,69,36.73,34,0,0,0
12,9,3,2,28,16,5,0.13,8,2,3,0.6,19,1,0,37,2,30.93,16,7919.03,0.16,93,0.06,439.95,494.94,0.2,4,8,16,0.06,32,61,20,20,80,44.78,39,0,0,0
5,7,1,0,6,10,4,0.15,4,2.5,2,0.5,13,3,0.67,26,2,38.77,13.2,6756.06,0.17,99,0.08,375.34,511.82,0.75,3,5,11,0.11,33,66,20,16,38,18.75,26,0,0,0
6,11,1,0,8,20,6,0.18,10,2,3,0.5,19,1,0,34,2,59.16,12.6,9398.15,0.25,135,0.08,522.12,745.68,0.17,5,10,15,0.12,43,92,29,17,49,19.05,34,0,0,0
21,13,5,2,30,22,7,0.21,10,2.2,5,0.71,24,1,0,31,1,26.31,23.5,14529.3,0.21,126,0.04,807.18,618.27,0.14,6,11,19,0.08,47,79,15,15,85,50.79,33,0,0,0
7,3,0,0,0,4,2,0.13,2,2,1,0.5,6,1,0,15,2,37.54,7.6,2168.23,0.1,60,0.13,120.46,285.29,0.5,1,2,6,0.09,19,41,15,12,23,0,15,0,0,0
10,7,2,6,12,12,4,0.19,6,2,4,1,15,4,1,15,2,18.1,16.36,4845.73,0.1,63,0.06,269.21,296.13,1,3,6,13,0.09,24,39,11,15,44,54.55,21,0,0,0
53,57,13,45,13,112,29,0.17,56,2,27,0.93,162,7,0.21,130,0,91.32,55.88,285170.84,1.7,729,0.02,15842.82,5103,0.24,28,56,135,0.11,309,420,94,34,259,30.85,175,0,0,0
12,7,8,3,3,12,4,0.12,6,2,4,1,25,1,0,30,0,30.45,20.71,13065.14,0.21,122,0.05,725.84,630.73,0.25,3,6,23,0.08,58,64,21,15,49,16.67,33,0,0,0
10,11,8,4,0,20,6,0.16,10,2,6,1,31,1,0,34,0,64.31,12,9260.02,0.26,146,0.08,514.45,771.67,0.17,5,10,27,0.12,54,92,27,12,49,10.53,38,0,0,0
47,15,7,27,28,20,9,0.1,10,2,6,0.67,50,1,0,59,1,47.3,45.77,99082.56,0.72,336,0.02,5504.59,2164.83,0.11,5,10,43,0.06,136,200,52,35,162,48.25,86,0,0,0
7,7,1,11,30,12,4,0.15,6,2,1,0.25,15,1,0,16,6,18.87,19.62,7260.95,0.12,77,0.05,403.39,370.17,0.25,3,6,13,0.06,34,43,13,15,65,71.93,27,0,0,0
33,23,1,5,95,44,12,0.17,22,2,1,0.08,60,1,0,65,4,79.18,42.02,139798.54,1.11,541,0.02,7766.59,3327.01,0.08,11,22,50,0.06,230,311,52,19,199,60.61,70,0,0,0
46,39,6,20,96,70,20,0.18,32,2.19,4,0.2,97,9,0.42,91,1,72.67,51.47,192513.32,1.25,568,0.02,10695.18,3740.26,0.45,19,35,79,0.08,250,318,68,28,254,56.04,111,1,0,0
5,5,3,0,3,8,3,0.15,4,2,3,1,15,1,0,20,0,38.85,12.28,5856.79,0.16,93,0.08,325.38,477.02,0.33,2,4,14,0.1,26,67,18,17,29,13.04,20,0,0,0
9,19,0,6,6,36,10,0.16,18,2,1,0.1,38,5,0.44,58,3,30.99,33.52,34816.7,0.35,187,0.03,1934.26,1038.71,0.5,9,18,30,0.13,83,104,26,21,80,17.14,64,1,0,0
17,29,0,19,53,50,15,0.22,22,2.27,1,0.07,55,9,0.57,50,2,50.79,25.26,32401.84,0.43,219,0.04,1800.1,1282.9,0.6,14,25,42,0.11,89,130,37,21,140,59.02,69,0,0,0
1,5,0,0,0,8,3,0.25,4,2,1,0.33,12,1,0,12,2,21.83,10.42,2369.07,0.08,51,0.1,131.62,227.43,0.33,2,4,11,0.21,25,26,12,10,14,0,12,0,0,0
24,33,7,13,55,60,17,0.16,28,2.14,6,0.35,79,7,0.38,93,1,56.02,48.06,129374.54,0.9,407,0.02,7187.47,2692.19,0.41,16,30,64,0.09,173,234,63,35,186,42.24,106,0,0,0
24,37,6,0,18,52,19,0.28,20,2.6,13,0.68,68,19,1,69,0,73.61,37.75,104901.75,0.93,422,0.03,5827.87,2778.85,1,16,26,51,0.17,151,271,64,32,112,20.69,69,0,0,0
4,5,0,1,0,8,3,0.18,4,2,1,0.33,10,3,1,16,2,13.72,10.56,1531,0.05,33,0.09,85.06,144.95,1,2,4,9,0.14,13,20,8,13,22,5.88,17,0,0,0
5,5,0,0,0,8,3,0.15,4,2,1,0.33,9,1,0,20,2,10.03,14.67,2158.18,0.05,36,0.07,119.9,147.15,0.33,2,4,8,0.12,16,20,6,11,26,0,20,0,0,0
26,28,16,20,119,28,17,0.1,12,2.33,13,0.76,72,10,0.56,154,1,133.35,38.57,198396.43,1.71,695,0.03,11022.02,5143.61,0.59,8,14,57,0.05,285,410,133,36,320,47.44,174,0,0,0
6,31,3,1,19,54,16,0.22,24,2.25,7,0.44,61,9,0.53,72,6,86.16,18.26,28729.02,0.52,255,0.05,1596.06,1573.33,0.56,15,28,47,0.16,83,172,50,22,99,21.74,73,0,0,0
21,31,10,13,50,34,18,0.13,16,2.13,13,0.72,72,1,0,125,3,77.8,40.25,126046.47,1.04,438,0.02,7002.58,3131.59,0.06,9,17,56,0.07,168,270,96,46,254,33.51,138,0,0,0
6,9,2,0,17,16,5,0.17,8,2,2,0.4,21,1,0,29,2,27.4,20.78,11829.84,0.19,111,0.05,657.21,569.35,0.2,4,8,18,0.09,44,67,18,17,53,36.96,29,0,0,0
8,5,1,1,11,8,3,0.16,4,2,1,0.33,12,1,0,18,4,35.6,12.89,5919.2,0.15,91,0.08,328.84,459.04,0.33,2,4,11,0.05,35,56,19,14,57,40,19,0,0,0
17,21,7,0,8,36,11,0.2,16,2.25,8,0.73,53,5,0.4,55,4,48.89,26.83,35190.17,0.44,217,0.04,1955.01,1311.63,0.45,10,18,44,0.14,88,129,41,25,81,12.7,55,0,0,0
14,5,2,0,39,8,3,0.06,4,2,1,0.33,13,1,0,47,2,59.87,15.65,14671.27,0.31,150,0.06,815.07,937.19,0.33,2,4,12,0.02,82,68,55,21,121,45.35,47,0,0,0
10,11,2,2,14,20,6,0.18,10,2,2,0.33,25,4,0.6,32,1,21.82,22.85,11393.4,0.17,95,0.04,632.97,498.55,0.67,5,10,21,0.1,37,58,17,21,59,33.33,34,0,0,0
2,5,4,0,2,8,3,0.14,4,2,3,1,14,1,0,21,2,34.56,8.63,2570.73,0.1,62,0.12,142.82,298.06,0.33,2,4,13,0.12,23,39,16,12,26,8.7,21,0,0,0
4,3,0,0,1,4,2,0.14,2,2,1,0.5,6,1,0,14,3,12.74,7.86,786.33,0.03,24,0.13,43.68,100.08,0.5,1,2,6,0.1,10,14,7,11,20,6.67,14,0,0,0
6,5,6,0,6,8,3,0.14,4,2,3,1,15,1,0,21,2,40.4,11.25,5113.63,0.15,86,0.09,284.09,454.54,0.33,2,4,14,0.09,36,50,24,15,34,22.22,21,0,0,0
9,5,4,0,11,8,3,0.11,4,2,2,0.67,16,1,0,28,1,36.57,15.24,8490.44,0.19,104,0.07,471.69,557.19,0.33,2,4,15,0.06,32,72,21,20,49,28.21,28,1,0,0
2,3,3,0,9,4,2,0.11,2,2,2,1,9,1,0,18,1,32,11.63,4329.68,0.12,72,0.09,240.54,372.23,0.5,1,2,9,0.07,26,46,19,17,30,33.33,18,0,0,0
3,6,5,2,13,4,4,0.11,2,2,4,1,30,1,0,36,0,48.31,17.63,15014.65,0.28,156,0.06,834.15,851.67,0.25,1,2,28,0.07,56,100,27,17,55,29.41,38,0,0,0
22,58,13,12,33,78,32,0.19,36,2.17,20,0.63,124,7,0.19,160,3,151.5,22.73,78244.98,1.15,488,0.04,4346.94,3442.98,0.22,21,39,94,0.14,163,325,104,29,228,21.95,172,0,0,0
10,37,12,0,62,64,20,0.13,32,2,18,0.9,95,1,0,149,0,171.78,29.58,150305.78,1.69,702,0.03,8350.32,5081.36,0.05,16,32,77,0.09,220,482,119,32,222,29.38,149,1,0,0
42,141,24,45,339,238,73,0.16,106,2.25,41,0.56,303,30,0.4,411,7,293.68,43.41,553518.63,4.25,1500,0.02,30751.03,12749.77,0.41,66,119,232,0.13,568,932,314,48,555,48.3,456,1,0,0
16,29,5,3,29,54,15,0.12,26,2.08,12,0.8,76,3,0.14,121,0,164.09,23.26,88801.93,1.27,537,0.04,4933.44,3817.28,0.2,14,27,63,0.09,221,316,114,24,170,20.92,124,1,0,0
0,3,0,0,0,4,2,0.15,2,2,1,0.5,6,1,0,13,0,21.15,3.5,259.02,0.02,20,0.29,14.39,74.01,0.5,1,2,6,0.14,6,14,6,7,14,0,13,0,0,0
2,49,8,33,58,90,25,0.16,42,2.14,9,0.36,117,12,0.46,128,0,104.25,54.33,307757.08,1.89,790,0.02,17097.62,5664.24,0.48,24,45,94,0.11,326,464,108,36,233,41.55,161,0,0,0
4,9,0,0,0,16,5,0.25,8,2,1,0.2,19,1,0,20,1,13.75,21,6065.91,0.1,63,0.05,336.99,288.85,0.2,4,8,16,0.2,21,42,8,16,25,0,20,0,0,0
0,11,3,2,20,14,6,0.21,4,3.5,2,0.33,18,1,0,27,0,38.41,13.45,6946.75,0.17,92,0.07,385.93,516.54,0.17,5,7,14,0.12,39,53,29,20,49,44.9,29,0,0,0
8,19,4,6,7,32,10,0.19,14,2.29,7,0.7,54,9,0.89,47,0,105.02,18.86,37359.42,0.66,318,0.05,2075.52,1980.76,0.9,9,16,46,0.14,97,221,54,21,69,21.67,53,0,0,0
10,5,9,2,18,8,3,0.17,4,2,2,0.67,18,1,0,16,1,45.77,7.71,2723.97,0.12,70,0.13,151.33,353.11,0.33,2,4,17,0.04,27,43,21,12,71,55.56,18,0,0,0
